,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
0,-8.94642,-25.262304,0.0,0.0,6.186331,0.0,0.0,-1.3360041,9.509972,0.0,1.3549124,0.0,0.0
1,-8.94642,-25.262304,-0.013360041,0.09509972,6.186331,0.0,-0.0069369446,0.15785684,9.50995,0.0,0.033418708,0.0,0.0
2,-8.945475,-25.262403,-0.011781473,0.19019921,6.186292,-0.0033932189,-0.0061171963,0.3037247,9.509959,0.0009509972,0.031659972,0.0,0.0
3,-8.943583,-25.262598,-0.008744226,0.2852988,6.1862245,-0.005036812,-0.0045400043,0.07545869,9.509932,0.0028529891,0.03366445,0.0,0.0
4,-8.940744,-25.262888,-0.007989639,0.38039812,6.1861486,-0.006903226,-0.004148178,0.32642856,9.509915,0.0057059773,0.035241038,0.0,0.0
5,-8.936959,-25.263271,-0.0047253533,0.47549728,6.1860566,-0.0054436326,-0.0024531812,0.018989038,9.509925,0.009509958,0.032367222,0.0,0.0
6,-8.932228,-25.263744,-0.0045354627,0.5705965,6.1859884,-0.006531113,-0.0023545825,0.35112202,9.509904,0.014264931,0.02967448,0.0,0.0
7,-8.92655,-25.26431,-0.0010242428,0.66569555,6.185923,-0.009294436,-0.0021134166,-0.02738145,9.509942,0.019970896,0.0391067,0.0,0.0
8,-8.919927,-25.264973,-0.0012980573,0.760795,6.1858306,-0.0016930287,-0.0014575445,0.38205814,9.509985,0.026627852,0.037251193,0.0,0.0
9,-8.912355,-25.265722,0.002522524,0.85589486,6.1858134,-0.0064841434,-0.00078755146,-0.08141341,9.509959,0.0342358,0.038228557,0.0,0.0
10,-8.903837,-25.266562,0.00170839,0.95099443,6.1857486,0.0045787496,-0.00018387206,0.40995786,9.509938,0.04279475,0.03503976,0.0,0.0
11,-8.894373,-25.267488,0.005807969,1.0460938,6.1857944,0.0012794789,0.00036015312,-0.13740139,9.509948,0.052304696,0.031465057,0.0,0.0
12,-8.883962,-25.268501,0.0044339546,1.1411933,6.185807,0.01178645,0.0010272501,0.44005305,9.50993,0.062765636,0.060704976,0.0,0.0
13,-8.872602,-25.2696,0.008834485,1.2362926,6.185925,0.0110855615,0.0013917186,-0.19625165,9.509973,0.07417756,0.058737617,0.0,0.0
14,-8.860296,-25.270782,0.006871969,1.3313923,6.186036,0.0214278,0.0020408013,0.47446468,9.509941,0.08654049,0.038193017,0.0,0.0
15,-8.847042,-25.272047,0.011616616,1.4264917,6.18625,0.021800391,0.0022886638,-0.25868163,9.509969,0.09985442,0.04238894,0.0,0.0
16,-8.832841,-25.273396,0.009029799,1.5215914,6.186468,0.03278158,0.002871042,0.51415,9.509937,0.11411933,0.056765724,0.0,0.0
17,-8.817692,-25.274822,0.0141712995,1.6166908,6.186796,0.03345285,0.003018977,-0.32529286,9.509971,0.12933524,0.05817933,0.0,0.0
18,-8.801596,-25.276329,0.010918371,1.7117904,6.1871305,0.045166176,0.003526022,0.56020534,9.509944,0.14550215,0.04220764,0.0,0.0
19,-8.784551,-25.27791,0.016520424,1.8068899,6.187582,0.045763154,0.0035771478,-0.3970424,9.509973,0.16262005,0.028417904,0.0,0.0
20,-8.766559,-25.279572,0.012550001,1.9019896,6.18804,0.0581645,0.0040094014,0.6139578,9.509973,0.18068896,0.027203636,0.0,0.0
21,-8.747618,-25.281301,0.018689578,1.9970894,6.1886215,0.05839393,0.0039660465,-0.4752913,9.509981,0.19970885,0.040216602,0.0,0.0
22,-8.727729,-25.283108,0.013936666,2.092189,6.1892056,0.07143311,0.0043276474,0.67684335,9.509957,0.21967974,0.030337784,0.0,0.0
23,-8.706891,-25.284983,0.0207051,2.1872888,6.18992,0.071032085,0.0041926913,-0.56176156,9.509986,0.24060164,0.072933815,0.0,0.0
24,-8.685104,-25.286928,0.015087483,2.2823887,6.19063,0.084677346,0.004489941,0.75106555,9.509957,0.26247454,0.016172841,0.0,0.0
25,-8.662369,-25.288935,0.02259814,2.3774881,6.191477,0.08339635,0.004266797,0.6448664,9.5099945,0.2852984,0.01558941,0.0,0.0
26,-8.638685,-25.291012,0.029046804,2.472588,6.192311,0.09765396,0.0045078155,-0.38213792,9.509979,0.3090733,0.01595422,0.0,0.0
27,-8.614052,-25.293144,0.025225425,2.567688,6.1932874,0.11932974,0.004973221,0.6683098,9.509979,0.33379918,0.024903802,0.0,0.0
28,-8.588468,-25.295322,0.031908523,2.6627877,6.1944804,0.12714125,0.0049720453,-0.40818903,9.509981,0.35947606,0.02005535,0.0,0.0
29,-8.561933,-25.297548,0.027826631,2.7578876,6.195752,0.14575553,0.0052393647,0.64540917,9.5099745,0.38610393,0.01652382,0.0,0.0
30,-8.534447,-25.299812,0.034280725,2.8529873,6.19721,0.15159926,0.005079566,-0.42102775,9.509982,0.41368282,0.036824465,0.0,0.0
31,-8.50601,-25.302118,0.030070446,2.948087,6.1987257,0.16846192,0.005184287,0.6229074,9.509962,0.44221267,0.024893867,0.0,0.0
32,-8.476622,-25.304453,0.03629952,3.0431867,6.2004104,0.17307514,0.0048992797,-0.43238258,9.509956,0.46169356,0.020600619,0.0,0.0
33,-8.446282,-25.306822,0.031975694,3.1382864,6.202141,0.18852715,0.004871017,0.60113674,9.509979,0.49212542,0.0157672,0.0,0.0
34,-8.41499,-25.30921,0.03798706,3.233386,6.204026,0.19202894,0.004484294,-0.43739927,9.509989,0.5235083,0.015833987,0.0,0.0
35,-8.382747,-25.31162,0.03361307,3.328486,6.2059464,0.20611276,0.004346148,0.5808681,9.50998,0.55584216,0.021200445,0.0,0.0
36,-8.34955,-25.314045,0.039421752,3.4235857,6.208008,0.20857485,0.003879386,-0.44115987,9.509987,0.589127,0.020572303,0.0,0.0
37,-8.315401,-25.316484,0.03501015,3.5186856,6.2100935,0.22134848,0.0036530234,0.5622507,9.509982,0.62336284,0.02047441,0.0,0.0
38,-8.280299,-25.318926,0.040632658,3.6137855,6.212307,0.22278853,0.0031242678,-0.44165933,9.509988,0.6585497,0.01806797,0.0,0.0
39,-8.244245,-25.321373,0.036216065,3.7088854,6.2145348,0.23428927,0.0028283799,0.5452044,9.509975,0.69468755,0.022800911,0.0,0.0
40,-8.207235,-25.323812,0.04166811,3.803985,6.2168775,0.23476468,0.0022543313,-0.43759215,9.509992,0.7317764,0.01858011,0.0,0.0
41,-8.169274,-25.326246,0.037292186,3.899085,6.2192254,0.24506624,0.001905894,0.5286262,9.50998,0.7698163,0.018141303,0.0,0.0
42,-8.130358,-25.328665,0.042578448,3.9941847,6.221676,0.2446973,0.0013020766,-0.43536934,9.509989,0.80880713,0.01792522,0.0,0.0
43,-8.090488,-25.331068,0.038224757,4.089285,6.224123,0.25390708,0.0009159362,0.5178586,9.509979,0.848749,0.020261953,0.0,0.0
44,-8.0496645,-25.333445,0.043403342,4.1843843,6.226662,0.25272954,0.00029342656,-0.41214868,9.509987,0.8896418,0.019292088,0.0,0.0
45,-8.007887,-25.335796,0.039281856,4.2794843,6.2291894,0.2609919,-0.0001170867,0.5146723,9.509982,0.93148565,0.020102203,0.0,0.0
46,-7.965155,-25.33811,0.04442858,4.374584,6.231799,0.25949946,-0.00074075704,-0.37117627,9.509959,0.9742805,0.018236825,0.0,0.0
47,-7.9214687,-25.34039,0.040716816,4.4696836,6.234394,0.26735327,-0.0011601682,0.51502436,9.509993,1.0180264,0.018461814,0.0,0.0
48,-7.8768277,-25.342623,0.04586706,4.5647836,6.2370677,0.26629075,-0.0017707576,-0.3144269,9.50998,1.0627232,0.018738976,0.0,0.0
49,-7.831232,-25.344807,0.042722788,4.6598835,6.239731,0.27439946,-0.0021904954,0.5155415,9.509988,1.108371,0.018972134,0.0,0.0
50,-7.784682,-25.346933,0.047878206,4.7549834,6.2424746,0.2745732,-0.0027823355,-0.2454537,9.509978,1.1549698,0.017186053,0.0,0.0
51,-7.737177,-25.349,0.045423668,4.8500834,6.24522,0.28358525,-0.0032035245,0.51261,9.509994,1.2025197,0.019025069,0.0,0.0
52,-7.688717,-25.350996,0.050549768,4.9451833,6.2480564,0.2857184,-0.00378127,-0.16596505,9.509982,1.2510206,0.019225813,0.0,0.0
53,-7.6393027,-25.35292,0.048890118,5.0402827,6.2509136,0.29614374,-0.004215051,0.50367624,9.5099945,1.3004724,0.017226996,0.0,0.0
54,-7.5889335,-25.35476,0.05392688,5.1353827,6.253875,0.30080986,-0.0047922153,-0.07773336,9.50999,1.3508751,0.020516234,0.0,0.0
55,-7.5376096,-25.35651,0.053149547,5.2304826,6.256883,0.31298482,-0.005257422,0.48657516,9.509972,1.402229,0.01872438,0.0,0.0
56,-7.4853306,-25.35816,0.058015298,5.3255825,6.2600126,0.32057768,-0.0058539035,0.017943958,9.509985,1.4545338,0.019131282,0.0,0.0
57,-7.4320974,-25.359707,0.058194738,5.4206824,6.2632184,0.334648,-0.0063743526,0.4584987,9.509994,1.5077896,0.024892962,0.0,0.0
58,-7.377909,-25.361134,0.062779725,5.5157824,6.266565,0.34537634,-0.007013589,0.12052245,9.509977,1.5619965,0.026849685,0.0,0.0
59,-7.322767,-25.362438,0.063984945,5.610882,6.270019,0.3612827,-0.0076155043,0.41856185,9.509993,1.6171544,0.02386586,0.0,0.0
60,-7.26667,-25.363604,0.06817057,5.7059817,6.2736316,0.37517527,-0.008321682,0.22840305,9.509994,1.6732631,0.022088494,0.0,0.0
61,-7.2096195,-25.364624,0.0704546,5.8010817,6.2773833,0.39269382,-0.009030567,0.36487404,9.509987,1.740323,0.020502165,0.0,0.0
62,-7.151615,-25.365484,0.07410334,5.8961816,6.2813106,0.40961543,-0.009826295,0.3556947,9.509992,1.7983338,0.021141658,0.0,0.0
63,-7.092657,-25.366173,0.077660285,5.9912815,0.002221211,0.42835608,-0.010665107,0.38535994,9.50998,1.8572956,0.027924491,0.0,0.0
64,-7.0327463,-25.36668,0.08151388,6.0863814,0.0065047718,0.4482978,-0.011565755,0.47437125,9.509995,1.9172084,0.01943532,0.0,0.0
65,-6.9718833,-25.366987,0.0862576,6.1814814,0.01098775,0.46961075,-0.012530596,0.1561827,9.50998,1.9780722,0.017162967,0.0,0.0
66,-6.910069,-25.367083,0.08781943,6.2765813,0.015683858,0.49352825,-0.013549691,0.008442887,9.509977,2.039887,0.016586905,0.0,0.0
67,-6.847303,-25.36695,0.08790385,6.3716807,0.020619141,0.5135669,-0.014721155,-0.13133395,9.5099745,2.1026528,0.01762123,0.0,0.0
68,-6.7835875,-25.366573,0.08659051,6.4667807,0.02575481,0.5272976,-0.016034648,-0.033038203,9.509997,2.1663697,0.026400585,0.0,0.0
69,-6.7189226,-25.365944,0.08626013,6.5618806,0.031027786,0.5328908,-0.017455686,0.1412406,9.509986,2.2310374,0.032597825,0.0,0.0
70,-6.65331,-25.365053,0.08767254,6.6569805,0.036356695,0.5333183,-0.018881451,-0.32168025,9.509983,2.2966564,0.021904271,0.0,0.0
71,-6.58675,-25.363892,0.084455736,6.7520804,0.041689876,0.5327084,-0.020228045,-0.81200653,9.509996,2.3632262,0.01887352,0.0,0.0
72,-6.519245,-25.362442,0.07633567,6.8471804,0.04701696,0.52293396,-0.021595066,-0.7145086,9.3602,2.4307468,0.020070627,0.0,0.0
73,-6.450795,-25.3607,0.069190584,6.9407825,0.0522463,0.49914518,-0.02299079,-0.577142,8.086641,2.4992187,0.016952232,0.0,0.0
74,-6.3814173,-25.358671,0.06341916,7.021649,0.05723775,0.48481116,-0.024191307,-0.45858604,6.8101006,2.5786264,0.04104316,0.0,0.0
75,-6.3112392,-25.356352,0.058833305,7.08975,0.062085863,0.48015472,-0.025279082,-0.3102614,5.5705276,2.648843,0.02132845,0.0,0.0
76,-6.2403893,-25.353743,0.05573069,7.145455,0.06688741,0.48468366,-0.026335364,-0.3538618,4.476913,2.7197404,0.021561876,0.0,0.0
77,-6.168994,-25.350845,0.05219207,7.190224,0.07173425,0.4974172,-0.027423253,-0.54760903,3.0696564,2.791195,0.03805544,0.0,0.0
78,-6.0971622,-25.34766,0.046715982,7.2209206,0.07670842,0.52062374,-0.028626487,-0.66070336,1.6336495,2.8630972,0.02041954,0.0,0.0
79,-6.0250363,-25.344189,0.040108945,7.237257,0.081914656,0.54674256,-0.030111466,-0.6976036,0.29060966,2.9353065,0.017202009,0.0,0.0
80,-5.9527607,-25.340443,0.03313291,7.2401633,0.087382086,0.5689555,-0.03194852,-0.42011905,-0.67806995,3.007679,0.027189266,0.0,0.0
81,-5.8804703,-25.336432,0.02893172,7.2333827,0.09307164,0.57956296,-0.03411314,-0.15495482,-1.4143294,3.0900807,0.01638106,0.0,0.0
82,-5.8082623,-25.332169,0.027382173,7.219239,0.09886727,0.5854026,-0.036380336,0.07514503,-2.0451837,3.1624146,0.014532534,0.0,0.0
83,-5.736211,-25.32766,0.028133623,7.1987877,0.10472129,0.5948335,-0.03860028,-0.09225349,-3.0309637,3.234607,0.017662253,0.0,0.0
84,-5.66438,-25.322905,0.027211089,7.168478,0.11066963,0.6219318,-0.0407273,0.086463585,-3.7495804,3.3065948,0.019311933,0.0,0.0
85,-5.5928707,-25.317894,0.028075723,7.130982,0.11688895,0.6545056,-0.043007158,0.24360892,-4.534039,3.3782794,0.02742806,0.0,0.0
86,-5.521755,-25.31263,0.030511813,7.085642,0.123434,0.7005187,-0.045411617,0.33923757,-5.0671997,3.4495895,0.028664129,0.0,0.0
87,-5.4511147,-25.307108,0.033904187,7.03497,0.13043919,0.7605531,-0.047992904,0.13541746,-5.6328263,3.5204458,0.01770372,0.0,0.0
88,-5.381004,-25.301313,0.035258364,6.9786415,0.13804471,0.83815503,-0.050834738,-0.6379705,-6.49798,3.5907955,0.01685175,0.0,0.0
89,-5.3114824,-25.295237,0.028878657,6.9136615,0.14642628,0.9305549,-0.054193504,-0.4869588,-7.2024684,3.6605818,0.014940772,0.0,0.0
90,-5.24264,-25.288868,0.02400907,6.841637,0.15573183,1.0019581,-0.05855212,-0.09584577,-7.8098254,3.7297184,0.015455656,0.0,0.0
91,-5.1745462,-25.28223,0.023050612,6.763539,0.1657514,1.0618154,-0.06355979,0.24339044,-8.167503,3.7881348,0.01593257,0.0,0.0
92,-5.1072636,-25.27533,0.025484517,6.681864,0.17636956,1.1248003,-0.06884335,0.21427654,-8.971343,3.8557703,0.014541295,0.0,0.0
93,-5.040831,-25.26816,0.027627282,6.59215,0.18761756,1.218384,-0.07427002,0.06227061,-9.259156,3.9225888,0.01635612,0.0,0.0
94,-4.9753327,-25.260704,0.028249988,6.4995584,0.1998014,1.324753,-0.08011953,-0.07490222,-9.482821,3.9885104,0.019775104,0.0,0.0
95,-4.910802,-25.252943,0.027500967,6.4047303,0.21304893,1.434706,-0.08656382,-0.10370384,-9.507968,4.043506,0.036076628,0.0,0.0
96,-4.847266,-25.244864,0.026463928,6.309651,0.22739598,1.5367067,-0.09364151,-0.2579547,-9.509664,4.1075535,0.022418814,0.0,0.0
97,-4.7847333,-25.236448,0.02388438,6.2145543,0.24276306,1.6310056,-0.10121884,0.21529566,-9.509938,4.16065,0.023465302,0.0,0.0
98,-4.7232094,-25.227682,0.026037337,6.119455,0.2590731,1.7125328,-0.10924756,0.62576634,-9.509986,4.2227955,0.01929937,0.0,0.0
99,-4.6627,-25.218548,0.032295,6.024355,0.27619845,1.8053154,-0.11726314,0.43503928,-9.509971,4.28399,0.017984007,0.0,0.0
100,-4.603216,-25.209013,0.036645394,5.929255,0.2942516,1.9252468,-0.12512207,0.3326575,-9.509984,4.3342333,0.014375542,0.0,0.0
101,-4.5447693,-25.199034,0.03997197,5.834155,0.31350407,2.0578163,-0.13321704,0.2661982,-9.509981,4.393526,0.014827244,0.0,0.0
102,-4.4873734,-25.188572,0.04263395,5.7390556,0.33408222,2.1958363,-0.14170134,0.12304611,-9.50997,4.4418674,0.018096065,0.0,0.0
103,-4.4310417,-25.177599,0.04386441,5.6439557,0.3560406,2.3352911,-0.15061586,-0.032752793,-9.509999,4.499258,0.014526802,0.0,0.0
104,-4.3757887,-25.166086,0.043536883,5.548856,0.3793935,2.4694679,-0.16000208,-0.14205596,-9.509991,4.5456977,0.014383153,0.0,0.0
105,-4.3216305,-25.15401,0.042116325,5.453756,0.40408817,2.5923975,-0.16983368,-0.21259494,-9.51,4.591186,0.015930464,0.0,0.0
106,-4.2685823,-25.14135,0.039990373,5.358656,0.43001217,2.7012963,-0.1799917,-0.25184077,-9.509987,4.645724,0.014515781,0.0,0.0
107,-4.216662,-25.128092,0.03747197,5.263556,0.4570251,2.7954352,-0.19031104,-0.26493797,-9.509996,4.6893106,0.015429819,0.0,0.0
108,-4.1658874,-25.11422,0.034822587,5.168456,0.48497948,2.8753207,-0.2006112,-0.10806421,-9.51,4.7419457,0.015744839,0.0,0.0
109,-4.1162786,-25.09972,0.033741944,5.073356,0.5137327,2.9421854,-0.21071453,0.10818174,-9.509999,4.7836304,0.014461497,0.0,0.0
110,-4.0678563,-25.08458,0.034823764,4.978256,0.54315454,3.0043244,-0.22035252,0.37541208,-9.292615,4.824364,0.016778257,0.0,0.0
111,-4.020645,-25.068789,0.038577884,4.8853297,0.5731978,3.0532432,-0.22922203,0.3896024,-8.955941,4.8741465,0.014694229,0.0,0.0
112,-3.9746535,-25.052313,0.04247391,4.7957706,0.6037302,3.0899322,-0.23695253,0.40155783,-8.677586,4.913,0.01451568,0.0,0.0
113,-3.9298856,-25.035114,0.046489485,4.708995,0.63462955,3.1174488,-0.24349532,0.67040455,-8.448485,4.9609575,0.015074964,0.0,0.0
114,-3.886352,-25.017162,0.053193532,4.62451,0.665804,3.1380866,-0.24884579,1.0700002,-8.13798,4.9980474,0.014701558,0.0,0.0
115,-3.844069,-24.998434,0.063893534,4.54313,0.69718486,3.1535647,-0.25277022,1.1849127,-7.695885,5.0442924,0.023349242,0.0,0.0
116,-3.8030508,-24.9789,0.07574266,4.4661713,0.72872055,3.1651733,-0.2549604,1.44763,-7.260892,5.089724,0.019781616,0.0,0.0
117,-3.763308,-24.958525,0.09021896,4.3935623,0.7603723,3.1738794,-0.2554607,1.7692463,-6.7635746,5.144386,0.015182344,0.0,0.0
118,-3.724855,-24.937273,0.10791142,4.3259263,0.79211104,3.1804094,-0.25418878,2.008247,-6.181117,5.188321,0.014735142,0.0,0.0
119,-3.687705,-24.915108,0.1279939,4.2641153,0.8239151,3.185307,-0.2510489,2.3843796,-5.5474133,5.2315807,0.015250487,0.0,0.0
120,-3.6518714,-24.891994,0.15183769,4.208641,0.8557682,3.1889775,-0.24607496,2.4900618,-4.8077292,5.2842216,0.016272208,0.0,0.0
121,-3.617368,-24.867895,0.1767383,4.160564,0.887658,3.1917326,-0.23921481,2.5783772,-4.0590596,5.336308,0.014939949,0.0,0.0
122,-3.5842073,-24.842768,0.20252208,4.119973,0.91957533,3.1937993,-0.23071398,2.209065,-3.2957425,5.377914,0.015712203,0.0,0.0
123,-3.5524023,-24.81658,0.22461273,4.087016,0.9515133,3.1953492,-0.22083132,2.2670777,-2.6239927,5.4291134,0.014581899,0.0,0.0
124,-3.5219655,-24.789303,0.2472835,4.0607758,0.9834668,3.192791,-0.21016392,2.248482,-1.6526105,5.479984,0.015283367,0.0,0.0
125,-3.4929063,-24.760939,0.26976833,4.04425,1.0153947,3.1584935,-0.19881363,2.1399133,-1.2987821,5.5405912,0.016700279,0.0,0.0
126,-3.4652145,-24.731464,0.29116747,4.031262,1.0469797,3.1688697,-0.18685776,1.9309112,-0.63729256,5.591034,0.014642985,0.0,0.0
127,-3.438917,-24.70091,0.31047657,4.024889,1.0786684,3.1766517,-0.1749568,1.8015251,0.17241026,5.6413465,0.016553892,0.0,0.0
128,-3.4140148,-24.669289,0.3284918,4.026613,1.1104349,3.1628265,-0.16336158,1.7120095,1.0510103,5.7015953,0.014888693,0.0,0.0
129,-3.390497,-24.636604,0.34561193,4.037123,1.1420631,3.1256778,-0.15209241,1.7317733,1.7788726,5.7518616,0.014757107,0.0,0.0
130,-3.3683448,-24.602854,0.36292964,4.054912,1.1733199,3.088252,-0.14112587,1.3992469,2.1296563,5.812233,0.015296452,0.0,0.0
131,-3.3475456,-24.568047,0.37692213,4.0762086,1.2042024,3.092181,-0.13050565,1.0492883,2.902546,5.862782,0.01518746,0.0,0.0
132,-3.328107,-24.532217,0.387415,4.105234,1.2351242,3.0752954,-0.120917976,0.70221454,3.690933,5.923544,0.014627718,0.0,0.0
133,-3.3100076,-24.49537,0.39443713,4.1421432,1.2658772,3.0347373,-0.11237289,0.037821986,3.5244575,5.9745965,0.016436,0.0,0.0
134,-3.29322,-24.457502,0.39481536,4.1773877,1.2962246,3.062162,-0.10453612,-0.19573714,4.4626613,6.0260177,0.014662642,0.0,0.0
135,-3.2777598,-24.418695,0.392858,4.2220144,1.3268462,3.014822,-0.09855613,-0.3966446,5.4424896,6.0777917,0.014470756,0.0,0.0
136,-3.2635803,-24.378927,0.38889155,4.2764397,1.3569944,2.9064448,-0.09375659,-0.501598,6.522004,6.1300116,0.014795563,0.0,0.0
137,-3.250634,-24.33817,0.38387558,4.3416595,1.3860588,2.7434213,-0.08968455,-1.0420103,7.1313477,6.172776,0.01485036,0.0,0.0
138,-3.2388685,-24.296377,0.37345546,4.412973,1.413493,2.583133,-0.08576536,-1.4334594,7.6288586,6.226193,0.014529642,0.0,0.0
139,-3.2282474,-24.253546,0.35912088,4.4892616,1.4393244,2.4245722,-0.082185596,-1.7132974,8.198984,6.2703223,0.015465959,0.0,0.0
140,-3.2187285,-24.209673,0.3419879,4.5712514,1.4635701,2.2544103,-0.07906538,-1.7579015,8.680963,6.315215,0.014775363,0.0,0.0
141,-3.2102618,-24.164751,0.3244089,4.658061,1.4861143,2.0783749,-0.07628129,-2.1711447,9.040659,6.3609276,0.014643101,0.0,0.0
142,-3.2027965,-24.118774,0.30269742,4.7484674,1.5068979,1.9070718,-0.07365883,-2.5470517,9.212711,6.4075084,0.01602877,0.0,0.0
143,-3.196285,-24.071737,0.27722692,4.840595,1.5259687,1.7448585,-0.07121418,-2.5665224,9.434872,6.454993,0.021113994,0.0,0.0
144,-3.1906805,-24.023657,0.2515617,4.9349437,1.5434173,1.5782349,-0.06905062,-2.448269,9.509906,6.503399,0.01859295,0.0,0.0
145,-3.1859293,-23.974537,0.227079,5.0300426,1.5591996,1.4160427,-0.066979244,-2.3072064,9.5093155,6.5427485,0.014500733,0.0,0.0
146,-3.1819808,-23.92439,0.20400694,5.1251354,1.5733601,1.2621175,-0.06489296,-2.913123,9.509967,6.5930486,0.015531268,0.0,0.0
147,-3.1787884,-23.87324,0.1748757,5.2202353,1.5859812,1.1153848,-0.06275031,-2.669944,9.509994,6.6343,0.014665145,0.0,0.0
148,-3.1763062,-23.821096,0.14817627,5.3153353,1.5971351,0.9616687,-0.060722627,-2.5677092,9.509926,6.676502,0.01497064,0.0,0.0
149,-3.174479,-23.767975,0.12249918,5.4104347,1.6067518,0.8052426,-0.058605943,-2.1331646,9.50998,6.7296557,0.01550974,0.0,0.0
150,-3.1732538,-23.713884,0.10116754,5.505534,1.6148041,0.64751494,-0.056298148,-2.162739,9.509978,6.7737603,0.016036222,0.0,0.0
151,-3.1725771,-23.658833,0.07954014,5.600634,1.6212794,0.4961279,-0.053634807,-1.522981,9.509762,6.8288155,0.019566294,0.0,0.0
152,-3.1724005,-23.602827,0.064310335,5.6957316,1.6262406,0.3491332,-0.050662555,-0.91069454,9.451224,6.8748217,0.014267759,0.0,0.0
153,-3.172673,-23.54587,0.055203386,5.790244,1.6297319,0.21880245,-0.047232278,-0.35769644,8.882413,6.931779,0.021168929,0.0,0.0
154,-3.1733506,-23.487972,0.05162642,5.879068,1.63192,0.124844365,-0.043302193,-0.44581857,7.026096,6.9796815,0.014540369,0.0,0.0
155,-3.1743982,-23.42919,0.047168236,5.949329,1.6331685,0.0957572,-0.038963784,-0.51433,5.5255585,7.038472,0.015103415,0.0,0.0
156,-3.1757908,-23.369713,0.042024937,6.004585,1.634126,0.10318352,-0.034851152,-0.57311624,4.1432147,7.0879655,0.014728616,0.0,0.0
157,-3.1775005,-23.309692,0.036293775,6.0460167,1.6351578,0.12959245,-0.031304132,-0.26197654,3.3815413,7.148011,0.014394227,0.0,0.0
158,-3.179499,-23.249264,0.03367401,6.079832,1.6364537,0.15402484,-0.028509315,0.1637162,2.9457355,7.1984715,0.015878996,0.0,0.0
159,-3.1817567,-23.188509,0.03531117,6.1092896,1.637994,0.1772506,-0.02628804,-0.3722323,1.1899815,7.2592697,0.016351823,0.0,0.0
160,-3.1842554,-23.127466,0.03158885,6.1211896,1.6397665,0.2274697,-0.024372796,0.17580514,0.38939002,7.3203626,0.014371844,0.0,0.0
161,-3.1869845,-23.066315,0.0333469,6.1250834,1.6420412,0.26873556,-0.02324049,0.89416313,0.3575594,7.371575,0.0157334,0.0,0.0
162,-3.1899235,-23.005135,0.04228853,6.128659,1.6447285,0.30894926,-0.022539157,1.5792334,0.5625809,7.4328256,0.014302702,0.0,0.0
163,-3.1930718,-22.94393,0.058080863,6.1342845,1.6478181,0.36737,-0.021939278,1.2794967,-0.058486648,7.494112,0.014454261,0.0,0.0
164,-3.196449,-22.882679,0.07087583,6.1337,1.6514918,0.47393486,-0.021294788,1.1382892,-0.41062728,7.545455,0.0147965,0.0,0.0
165,-3.2000904,-22.821451,0.08225872,6.1295934,1.656231,0.6079067,-0.02120067,1.0883794,-0.65418345,7.606792,0.014315195,0.0,0.0
166,-3.204025,-22.76028,0.09314252,6.1230516,1.6623101,0.7585558,-0.021938724,1.0802422,-0.82602495,7.668088,0.014286115,0.0,0.0
167,-3.2082818,-22.6992,0.10394494,6.1147914,1.6698958,0.920245,-0.023624858,1.0723737,-1.0228124,7.7193184,0.016592659,0.0,0.0
168,-3.2128925,-22.638226,0.114668675,6.104563,1.6790981,1.0916353,-0.026285267,1.0460356,-1.2075691,7.780466,0.014465439,0.0,0.0
169,-3.2178936,-22.577385,0.12512903,6.092488,1.6900145,1.2709956,-0.029933233,1.2120137,-2.2643676,7.8415117,0.014604837,0.0,0.0
170,-3.223326,-22.516703,0.13724917,6.069844,1.7027245,1.4815363,-0.034497663,1.0440377,-2.2506418,7.892437,0.01604917,0.0,0.0
171,-3.2292306,-22.456291,0.14768955,6.0473375,1.7175398,1.6953552,-0.040210996,0.9049894,-2.2626412,7.953135,0.014934644,0.0,0.0
172,-3.2356608,-22.396162,0.15673944,6.024711,1.7344934,1.9067525,-0.047075883,0.7032129,-2.2951915,8.013609,0.014338422,0.0,0.0
173,-3.242671,-22.336323,0.16377157,6.001759,1.7535609,2.1121492,-0.055024214,0.4693641,-2.3568647,8.063856,0.015527632,0.0,0.0
174,-3.2503169,-22.276794,0.16846521,5.9781904,1.7746824,2.3070154,-0.06398614,0.30525365,-2.450232,8.123874,0.014481624,0.0,0.0
175,-3.258653,-22.217598,0.17151774,5.953688,1.7977526,2.4869578,-0.07386785,0.21531387,-2.718783,8.183655,0.014598799,0.0,0.0
176,-3.267732,-22.158756,0.17367089,5.9265003,1.8226222,2.6584082,-0.084505185,0.16141821,-2.4759762,8.233192,0.014908373,0.0,0.0
177,-3.277602,-22.100319,0.17528507,5.9017406,1.8492062,2.793805,-0.09578435,0.05415779,-2.2178504,8.292458,0.014520391,0.0,0.0
178,-3.28832,-22.042284,0.17582665,5.879562,1.8771443,2.8953464,-0.107298106,-0.03773251,-2.0843904,8.351475,0.014366534,0.0,0.0
179,-3.2999463,-21.984648,0.17544933,5.8587184,1.9060978,2.9715092,-0.11872912,-0.122389816,-2.0380101,8.41027,0.014748541,0.0,0.0
180,-3.3125358,-21.92743,0.17422542,5.838338,1.9358128,3.028631,-0.12986864,-0.20403154,-2.0564404,8.468858,0.014513369,0.0,0.0
